TITLE,LINK,DESCRIPTIONS,SPEAKERS,LOCATIONS,TIME
Detecting corporate fraud - Tips from a crook and a sleuth (Sponsored by Donald W. Reynolds National Center for Business Journalism),http://ire.org/events-and-training/event/975/1411/,"The Donald W. Reynolds National Center for Business Journalism will offer a free pre-conference workshop from 1:30-5 p.m. on Wednesday, June 25. 
 
Attendees will learn the fundamental methods for inspecting public filings for corporate fraud. The information gained in this session will allow reporters to spot red flags in corporate disclosures and understand when to pursue a potential fraud investigation.
 
Instructors Roddy Boyd of the Southern Investigative Reporting Foundation and Sam E. Antar, a convicted felon and CFO of Crazy Eddie, Inc., will take an afternoon to show you how securities fraud is done and how to unearth reams of libel-proof data and facts from corporate financial filings. 
 
Our goal is to pierce the very expensive veil companies erect so that your reporting is never again dependent upon Wall Street and corporate hacks.
 
Sign up for this free workshop","Roddy Boyd, Sam Antar",Salon 14-15,1:30 p.m. - 5 p.m.
IRE Conference Registration (Wednesday),http://ire.org/events-and-training/event/975/1455/,Registration will be located on lower B2 level of the San Francisco Marriott Marquis.Registration will be located on lower B2 level of the San Francisco Marriott Marquis.,TBA,Lower B2 Level,3 p.m. - 6 p.m.
IRE Conference Registration (Thursday),http://ire.org/events-and-training/event/975/1460/,Registration will be located on lower B2 level of the San Francisco Marriott Marquis.Registration will be located on lower B2 level of the San Francisco Marriott Marquis.,TBA,Lower B2 Level,7:30 a.m. - 6 p.m.
IRE Sales Table (Thursday),http://ire.org/events-and-training/event/975/1456/,"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. All proceeds from your purchase help support IRE and its mission.",TBA,Lower B2 Level,7:30 a.m. - 6 p.m.
Welcome and overview of the conference,http://ire.org/events-and-training/event/975/1490/,"If you're new to the IRE Conference, haven't attended for awhile or want to learn more about the new things on the schedule this year, come by this session, where IRE staff will explain how things work, what's changed from past conferences and how to get the most out of the next few days.If you're new to the IRE Conference, haven't attended for awhile or want to learn more about the new things on the schedule this year, come by this session, where IRE staff will explain how things work, what's changed from past conferences and how to get the most out of the next few days.",TBA,Salon 12-13,8:30 a.m. - 9 a.m.
"INN: Trends in news revenue - The view From 30,000 feet (with a detour)",http://ire.org/events-and-training/event/975/1495/,"This session provides a brief overview of recent trends in news revenue, with a special focus on the non-profit sector. Drawing on Pew Research data, the session will touch on big picture shifts in advertising and audience revenue along with philanthropy, individual giving, events and other streams.This session provides a brief overview of recent trends in news revenue, with a special focus on the non-profit sector. Drawing on Pew Research data, the session will touch on big picture shifts in advertising and audience revenue along with philanthropy, individual giving, events and other streams.",Jesse Holcomb,Golden Gate B,8:30 a.m. - 9 a.m.
INN: The latest on philanthropy for nonprofit news and media organizations,http://ire.org/events-and-training/event/975/1496/,"*Moderated by Jesse Holcomb, Pew Research Center
This past year has seen several foundations move-on from supporting news and media, new foundations begin to invest in the space and long-serving foundations re-commit.  This year also saw unprecedented scrutiny of the ethics of philanthropy and journalism by media watchers who question the independence of the organizations supported.  This panel will look at the state of philanthropy in the space, and discuss ways to avoid ethical questions inherent in this type of support.*Moderated by Jesse Holcomb, Pew Research CenterThis past year has seen several foundations move-on from supporting news and media, new foundations begin to invest in the space and long-serving foundations re-commit.  This year also saw unprecedented scrutiny of the ethics of philanthropy and journalism by media watchers who question the independence of the organizations supported.  This panel will look at the state of philanthropy in the space, and discuss ways to avoid ethical questions inherent in this type of support.","Jesse Holcomb, Sue Hale, Tom Glaisyer, Kelly Born, Marie Gilot",Golden Gate B,9 a.m. - 10 a.m.
Mapping sea surges: A model for hyperlocal reporting on climate impact (Sponsored by New America Media),http://ire.org/events-and-training/event/975/1505/,"*Moderated by Sandy Close, New America Media
With support from several funders, New America Media teamed up with ethnic and community media reporters, Climate Central, IRE and the Stamen Group to document with data, maps and story telling the impact of sea rise on Bay Area low-income communities of color.  It's a model that can be replicated.*Moderated by Sandy Close, New America MediaWith support from several funders, New America Media teamed up with ethnic and community media reporters, Climate Central, IRE and the Stamen Group to document with data, maps and story telling the impact of sea rise on Bay Area low-income communities of color.  It's a model that can be replicated.","Sandy Close, Laura Flynn, Barbara Grady, Jessie Liang, Ngoc Nguyen",Salon 7,9 a.m. - 10 a.m.
Lethal lessons: Overcoming secrecy laws and other obstacles to covering the death penalty,http://ire.org/events-and-training/event/975/1391/,"*Moderated by Richard Pienciak, The Associated Press
Reporters have been facing unprecedented access challenges surrounding death penalty executions, especially regarding key information about the lethal drugs used. How best to prepare to cover an execution in case the administration of the drug cocktail – or any other method - is botched? Panelists will talk about the history of relevant cases, past and recent; legal fights to obtain transparency – including the identities of executioners and public witnesses; how to develop sources to overcome secrecy and legal barriers; and how to dig deep on the sources of drugs used and the chemical makeup of the deadly compounds.*Moderated by Richard Pienciak, The Associated PressReporters have been facing unprecedented access challenges surrounding death penalty executions, especially regarding key information about the lethal drugs used. How best to prepare to cover an execution in case the administration of the drug cocktail – or any other method - is botched? Panelists will talk about the history of relevant cases, past and recent; legal fights to obtain transparency – including the identities of executioners and public witnesses; how to develop sources to overcome secrecy and legal barriers; and how to dig deep on the sources of drugs used and the chemical makeup of the deadly compounds.","Ziva Branstetter, Brandi Grissom, Richard Pienciak",Salon 14-15,9 a.m. - 10 a.m.
Open records: Strategies for successful negotiations,http://ire.org/events-and-training/event/975/1482/,"*Moderated by Andrew Siegel, CBS
Digging out documents is a key part of life as an investigative reporter. But it seems that governments at all levels are clamping down on access to records. Learn how to successfully navigate the ins and outs of state and federal FOIA laws and win access fights.*Moderated by Andrew Siegel, CBSDigging out documents is a key part of life as an investigative reporter. But it seems that governments at all levels are clamping down on access to records. Learn how to successfully navigate the ins and outs of state and federal FOIA laws and win access fights.","Jeff Donn, Ron Nixon, Andrew Siegel, Thomas Burke",Salon 1-3,9 a.m. - 10 a.m.
When to scrape: Tools and techniques (Sponsored by Knight Foundation),http://ire.org/events-and-training/event/975/1422/,"Scraping data: Freeing the data you find on the web and making it work for you, your way. We'll talk about when you should scrape data from the web, different ways to do it and how scraping can help you repackage, analyze and offer up data automatically and in compelling ways.Scraping data: Freeing the data you find on the web and making it work for you, your way. We'll talk about when you should scrape data from the web, different ways to do it and how scraping can help you repackage, analyze and offer up data automatically and in compelling ways.","Steven Rich, Aaron Williams",Nob Hill AB,9 a.m. - 10 a.m.
